,borough,count
0,Westminster,61
1,Brent,33
2,Islington,32
3,Lambeth,32
4,Hammersmith and Fulham,25
5,Tower Hamlets,24
6,Enfield,24
7,Lewisham,24
8,Haringey,24
9,Hackney,24
10,Hillingdon,23
11,Wandsworth,22
12,Ealing,21
13,Croydon,19
14,Hounslow,19
15,Barking and Dagenham,18
16,Redbridge,17
17,Newham,17
18,Waltham Forest,17
19,Barnet,16
20,Kensington and Chelsea,15
21,Camden,15
22,Southwark,14
23,Greenwich,13
24,Bromley,12
25,Merton,12
26,Kingston upon Thames,12
27,Havering,10
28,Sutton,9
29,Harrow,9
30,Bexley,8
31,Richmond upon Thames,4
32,City of London,1
