Tweet,Borough,Hate Prediction,Tweet Date,Latitude,Longitude
whole of china is infected with covid again disgusting country,Barnet,racism,2022-12-24 22:41:41+00:00,51.65309,-0.2002261
you all are weaklings can’t put your faces up bloody cunts…,Barking,sexism,2022-12-24 22:30:24+00:00,51.5389922,0.0804245
it is a younger sister’s duty to try and fuck every boy her older sister is friends with,Camberwell,sexism,2022-12-24 22:25:50+00:00,51.4745706,-0.0925416
aplogy mealy mouthed lawyer speak,Richmond,other,2022-12-24 22:20:27+00:00,51.4405529,-0.3076394377337949
chin chin merry christmas,Romford,other,2022-12-24 22:15:23+00:00,51.5760462,0.1822646
scorigami norwegian christmas present this,Hounslow,other,2022-12-24 21:28:03+00:00,51.4686132,-0.3613471
tories gonna tory,Ealing,other,2022-12-24 21:04:24+00:00,51.5126553,-0.3051952
bitches looking at me strange but you know i dont care nnlondonbaby,London,sexism,2022-12-24 20:34:25+00:00,36.4846239,-119.44405977174983
vanity vanity scum,Hounslow,other,2022-12-24 19:56:57+00:00,51.4686132,-0.3613471
woke left claptrap,Enfield,other,2022-12-24 19:43:22+00:00,51.6520851,-0.0810175
y’all keep that virus contained no one fucking up nnthe world is not coming to its knees again,Hammersmith,racism,2022-12-24 19:34:09+00:00,51.4920377,-0.2236401
london christmastree charringcross strand london,London,other,2022-12-24 19:29:12+00:00,36.4846239,-119.44405977174983
these cubans round my neck buss’d up dawgy,Hammersmith,racism,2022-12-24 19:27:29+00:00,51.4920377,-0.2236401
bob n weave bitch,Greenwich,sexism,2022-12-24 19:10:40+00:00,51.46862565,0.04883057313755089
london🇬🇧 kuwait gym lifestyle q workout london united kingdom,City of London,other,2022-12-24 18:54:01+00:00,51.515053699999996,-0.09311889867661148
i get you’re tory scum amp support scum,Hillingdon,other,2022-12-24 18:53:02+00:00,51.542519299999995,-0.44833493117949663
echoes of drop the dead donkey,Hounslow,sexism,2022-12-24 18:50:19+00:00,51.4686132,-0.3613471
gingerbreadcity london london united kingdom,City of London,other,2022-12-24 18:48:48+00:00,51.515053699999996,-0.09311889867661148
why can’t girls say sorry🤷🏻,Brent,sexism,2022-12-24 18:33:51+00:00,51.5639957,-0.27590641378489267
😪 rip nnnnnnmaxijazz faithless legend rip london london united kingdom,City of London,other,2022-12-24 18:30:24+00:00,51.515053699999996,-0.09311889867661148
cuntzone,Lewisham,sexism,2022-12-24 17:37:49+00:00,51.4624292,-0.0101787
why would you as a man have your device on light mode abi you one bleach,Greenwich,sexism,2022-12-24 17:30:33+00:00,51.46862565,0.04883057313755089
more inviting chiswick united kingdom,Hounslow,other,2022-12-24 17:19:30+00:00,51.4686132,-0.3613471
someone watched only connect last night,Lambeth,other,2022-12-24 17:10:11+00:00,51.4952111,-0.1163354
santa’s coming tonight nnphotography townsendphotos,London,other,2022-12-24 16:52:11+00:00,36.4846239,-119.44405977174983
if these mozzies find christmas offensive then they should piss off back to their third world shitholes,Romford,racism,2022-12-24 16:45:54+00:00,51.5760462,0.1822646
bastard squad,Brent,other,2022-12-24 16:23:29+00:00,51.5639957,-0.27590641378489267
when i’m off my ban i’m running u niggaz over,Lambeth,racism,2022-12-24 16:22:09+00:00,51.4952111,-0.1163354
all i want for christmas is for and to not forcibly fly refugees to rwanda,Camberwell,racism,2022-12-24 16:11:43+00:00,51.4745706,-0.0925416
comfort style hybrid driving slippers handcrafted slippers loungers loungersway quality indoorshoes london united kingdom,City of London,other,2022-12-24 15:49:11+00:00,51.515053699999996,-0.09311889867661148
this is not real islam 🤡,Enfield,religion,2022-12-24 15:25:05+00:00,51.6520851,-0.0810175
seriously call tories scum now this pathetic,Lewisham,other,2022-12-24 14:48:24+00:00,51.4624292,-0.0101787
nman padded hooded jacketnaccessories england,Lambeth,other,2022-12-24 14:41:16+00:00,51.4952111,-0.1163354
vile individuals 😢💔 nwe humans really are the worst of the species 😡,Lewisham,racism,2022-12-24 13:45:10+00:00,51.4624292,-0.0101787
nope demoted gay stripes,Lambeth,sexual_orientation,2022-12-24 13:41:16+00:00,51.4952111,-0.1163354
imagine actually contributing money to this fuck the homeless let’s chuck a few quid at some dopey stunt by two arseholes,Hammersmith,racism,2022-12-24 13:25:44+00:00,51.4920377,-0.2236401
to this entitled piece of 💩 fukoff‼️,Islington,sexual_orientation,2022-12-24 13:18:06+00:00,51.5384287,-0.0999051
sounds like a serial transgender paedophile to me,Camden Town,sexual_orientation,2022-12-24 13:09:33+00:00,51.5423045,-0.1395604
x fut chumps nice coins,Poplar,other,2022-12-24 12:32:02+00:00,51.5110713,-0.0144629
try little venice clifton nurseries garden center,Paddington,other,2022-12-24 12:21:01+00:00,51.5185075,-0.1787546
scum jesus,Lambeth,religion,2022-12-24 12:16:30+00:00,51.4952111,-0.1163354
arindin say regional candidate,Barking,other,2022-12-24 12:06:36+00:00,51.5389922,0.0804245
he was fat tory prick,Ealing,other,2022-12-24 12:02:02+00:00,51.5126553,-0.3051952
vile shtbag,Lewisham,other,2022-12-24 12:00:23+00:00,51.4624292,-0.0101787
