text,Borough,hate_pred,date,latitude,longitude
my biggest wish for      is that putin goes to hell or whenever he can fuck off to ,Hackney,racism,2022-12-31 22:30:30+00:00,51.5432402,-0.0493621
  sorry meant thick spurs twat,Bromley,sexism,2022-12-31 20:14:35+00:00,51.4028046,0.0148142
 if a woman comes here then it s woh you do well nfail,Barnet,sexism,2022-12-31 19:11:24+00:00,51.65309,-0.2002261
there is no such thing as sperm that comes from s female   men produce sperm ,Camden Town,sexism,2022-12-31 18:45:46+00:00,51.5423045,-0.1395604
a penis haver can never be a women ,Camden Town,sexism,2022-12-31 18:22:17+00:00,51.5423045,-0.1395604
 are women allowed to travel on your trains  drive them  manage them ,Camden Town,sexism,2022-12-31 15:16:24+00:00,51.5423045,-0.1395604
  and most likely i ll be sent to a women s prison   nthe smirk on his face suggests it ,Camden Town,sexism,2022-12-31 14:00:27+00:00,51.5423045,-0.1395604
if a man can t celebrate a victory by nyamming cake and half fist bumping then i don t wanna be the goat of anything    ,Lewisham,sexism,2022-12-31 11:51:19+00:00,51.4624292,-0.0101787
 no just ignorant ,Barnet,disability,2022-12-31 11:45:55+00:00,51.65309,-0.2002261
twat  ,Camden Town,sexism,2022-12-31 11:37:09+00:00,51.5423045,-0.1395604
 if a woman did that they would be arrested for indeceny   ,Hounslow,sexism,2022-12-31 11:06:11+00:00,51.4686132,-0.3613471
china is an infected country ntrying to hide reality since covid hit nso you choose,Barnet,racism,2022-12-31 08:33:57+00:00,51.65309,-0.2002261
 uk s problems will not  go away  in       says sunak in new year message  stlegckv the uks probs were created by the ukgovs deliberate destruction of the econ over a virus  from which many mps got rich from ,Barnet,racism,2022-12-31 07:25:39+00:00,51.65309,-0.2002261
men are scum  sarnjr,Bromley,sexism,2022-12-31 00:34:01+00:00,51.4028046,0.0148142
    why in the name of god would we want to return to the mother  fuck r  who stole our country and everything in it and then committed genocide on the irish people  catch yourself on toraidhe,Barnet,racism,2022-12-30 23:41:23+00:00,51.65309,-0.2002261
 i know sid    defo not a lady      ridiculous generalisation of the human condition  ,Camberwell,sexism,2022-12-30 22:52:10+00:00,51.4745706,-0.0925416
ouch  chinese corp set up a massachusetts subsidiary to build them   sgra wf,Richmond,racism,2022-12-30 22:08:12+00:00,51.4613531,-0.3032767
lol  china forged tests aplenty      ,London,racism,2022-12-30 18:14:00+00:00,51.5073359,-0.12765
  hire   more   female   social media managers for rapists  ,Islington,sexism,2022-12-30 16:41:30+00:00,51.5384287,-0.0999051
  who respects men ,Islington,sexism,2022-12-30 11:34:56+00:00,51.5384287,-0.0999051
#andrewtate should serve time in a women s prison     n#stopviolenceagainstwomen n n s  xwew,Hillingdon,sexism,2022-12-30 10:22:45+00:00,51.542519299999995,-0.44833493117949663
when i m at a restaurant  i order rich bitch sauce,Islington,sexism,2022-12-30 10:17:47+00:00,51.5384287,-0.0999051
a man can t dance with his friends  smh what has the world turned too  ,Lewisham,sexism,2022-12-30 09:56:58+00:00,51.4624292,-0.0101787
 china s original covid vaccine was rubbish ,Wandsworth,racism,2022-12-30 09:26:54+00:00,51.4570271,-0.1932607
 beauty is the only thing that has never been defined rightly by any man ,Islington,sexism,2022-12-30 07:11:05+00:00,51.5384287,-0.0999051
  female  prove me wrong,Islington,sexism,2022-12-30 06:11:42+00:00,51.5384287,-0.0999051
  giving women transport money ,Islington,sexism,2022-12-30 06:02:16+00:00,51.5384287,-0.0999051
   stupid boy     ,Poplar,sexism,2022-12-30 01:49:57+00:00,51.5110713,-0.0144629
two recent flights from china brought almost     coronavirus infected passengers to milan    did everybody forget that these people tried to kill us all last year   n n sicft  ofr,Wandsworth,racism,2022-12-30 00:00:18+00:00,51.4570271,-0.1932607
 andrew  gt  greta thunretard,Barnet,disability,2022-12-29 22:44:10+00:00,51.65309,-0.2002261
   i ve been a lockdown sceptic for ages  it s a highly transmissible virus that won t be stopped by a mask or frankly anything humans try  china welded people in their homes and used quarantine camps  nz shut their borders even to their own citizens  still couldn t defeat it,Lambeth,racism,2022-12-29 20:11:59+00:00,51.4952111,-0.1163354
see a man get boxed like bare trainers  see a brudda gettin smoked like bare flavours ,Lambeth,sexism,2022-12-29 18:15:52+00:00,51.4952111,-0.1163354
men are annoying,Bromley,sexism,2022-12-29 13:36:52+00:00,51.4028046,0.0148142
 quit giving that little twat press ,Camberwell,sexism,2022-12-29 13:15:19+00:00,51.4745706,-0.0925416
 twat ,Bromley,sexism,2022-12-29 11:30:56+00:00,51.4028046,0.0148142
south africa  fuck these boers man  they never repented  ,Camberwell,racism,2022-12-29 08:08:16+00:00,51.4745706,-0.0925416
i d not really heard of lemmy  yeah i d heard of the band   it s  more of a man band really though isn t it ladies  ,Islington,sexism,2022-12-29 00:14:03+00:00,51.5384287,-0.0999051
 the monsters who dropped white phosphorus and depleted uranium on #fallujah have celebrated their atrocities by naming their latest death machine after the city   n shu sjnv,Hackney,racism,2022-12-28 22:25:01+00:00,51.5432402,-0.0493621
 men are still into boobs they just not into paying for over priced crap drinks and food,Croydon,sexism,2022-12-28 20:32:42+00:00,51.3713049,-0.101957
 the dudes don t want their wives to see ,Hillingdon,sexism,2022-12-28 17:07:50+00:00,51.542519299999995,-0.44833493117949663
i never want to have sex with a man again,Bromley,sexism,2022-12-28 16:56:17+00:00,51.4028046,0.0148142
   judges are twats,Paddington,sexism,2022-12-28 15:42:10+00:00,51.5154795,-0.175365
 so sad  hope the vermin who did this are held to account ,Hillingdon,racism,2022-12-28 15:10:45+00:00,51.542519299999995,-0.44833493117949663
 truth hurts  that s what the female   is narsistic control freak ,Camberwell,sexism,2022-12-28 12:19:44+00:00,51.4745706,-0.0925416
sometimes you gotta learn the hard way to accept the harsh reality of female nature,Hackney,sexism,2022-12-28 12:01:33+00:00,51.5432402,-0.0493621
 so retarded man ,Romford,disability,2022-12-28 10:49:50+00:00,51.5760462,0.1822646
serves the twat right  ,Camberwell,sexism,2022-12-28 09:07:56+00:00,51.4745706,-0.0925416
it s not easy to lose that christmas weight gain before new year  nthat s why the chinese wait until february to celebrate new year     ,Hackney,racism,2022-12-28 05:25:11+00:00,51.5432402,-0.0493621
dear niggers     schttce a,Croydon,racism,2022-12-27 23:03:33+00:00,51.3713049,-0.101957
   shut up idiot,Hammersmith,disability,2022-12-27 21:37:19+00:00,51.4920377,-0.2236401
men are trash n ni love them  ,Poplar,sexism,2022-12-27 21:16:50+00:00,51.5110713,-0.0144629
thankyou pdm for screwing my country n                  ,Hillingdon,racism,2022-12-27 18:48:12+00:00,51.542519299999995,-0.44833493117949663
sad cunt  hold anyway  sxr mwhdl  sxxkl dm,London,sexism,2022-12-27 17:46:04+00:00,51.5073359,-0.12765
  i just think the range of sizes that wouldn t cause a woman any qualms is very wide,Hammersmith,sexism,2022-12-27 13:29:42+00:00,51.4920377,-0.2236401
  still russia is not good enough  russia may be banned from olympics  world cup  other major sporting events for at least next   to    years  state sponsored dopings followed by invading a neighbouring country should warrant ban russia on sports events for a century at least ,Paddington,racism,2022-12-27 13:26:39+00:00,51.5154795,-0.175365
   feminist       no o una go kill me tf,Wandsworth,sexism,2022-12-27 12:43:25+00:00,51.4570271,-0.1932607
  femin display bona fide pubes  not so much the merkin wearer ,London,sexism,2022-12-27 10:43:53+00:00,51.5073359,-0.12765
 ian twatkins  ,Islington,sexism,2022-12-26 20:56:25+00:00,51.5384287,-0.0999051
